0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Oman,"13,268","1,764",558,613,632,727,105,"3,812","2,662",693,541,580,581,3.4
Others,"30,939","2,241","1,687","4,335","2,055","1,796",958,"3,476","3,342","3,995","1,713","2,481","2,860",1.7
EAST ASIA,"425,161","38,807","46,632","33,957","29,786","27,612","30,363","42,890","41,436","34,150","31,597","31,586","36,345",1.3
China(P.R.) **,"271,577","26,083","32,186","19,645","18,972","16,004","19,952","30,631","27,519","22,111","20,566","18,590","19,318",1.4
Japan,"43,110","3,134","4,726","4,074","3,172","2,233","2,674","3,633","5,179","4,032","2,845","2,702","4,706",1.4
Malaysia,"24,727","1,532","2,155","2,071","1,509","2,118","1,976","2,395","1,817","2,188","1,727","2,376","2,863",1.4
Philippines,"12,747",903,989,"1,175",991,"1,113","1,003","1,057",949,"1,156","1,136","1,228","1,047",1.2
Indonesia,"15,297","1,118","1,816","2,010","1,581","2,090",724,566,497,707,783,"1,225","2,180",1.7
Singapore,"18,602",687,"1,388","1,752","1,023","1,440","1,718","1,339","1,561","1,465","1,196","1,963","3,070",2.0
"Th
  ailand","10,880","2,105",670,919,754,809,606,913,839,577,"1,044",820,824,2.3
Korea(South),"14,283","1,868","1,322","1,194",749,914,909,"1,231","1,296","1,001","1,173","1,386","1,240",1.6
Others,"13,938","1,377","1,380","1,117","1,035",891,801,"1,125","1,779",913,"1,127","1,296","1,097",1.5
SOUTH ASIA,"513,536","40,501","36,216","44,175","37,312","47,120","35,797","42,568","36,421","40,955","46,579","46,319","59,573",1.4
India,"356,729","28,895","26,559","30,170","25,890","34,259","27,068","27,665","24,418","27,241","36,471","30,148","37,945",1.3
Maldives,"95,167","6,908","5,780","9,006","6,706","7,441","4,722","8,203","6,739","8,385","5,417","9,948","15,912",2.0
Pakistan,"29,965","2,298","1,648","2,716","2,260","2,504","1,459","3,252","3,171","2,523","2,266","2,869","2,999",1.3
Bangladesh,"17,098","1,130","1,081","1,060","1,258","1,265","1,022","2,175","1,110","1,742","1,665","1,959","1,631",1.5
Others,"14,577","1,270","1,148","1,223","1,198","1,651","1,526","1,273",983,"1,064",760,"1,395","1,086",1.4
AUSTRALASIA,"83,851","7,750","4,937","6,853","5,305","4,050","6,422","8,155","7,026","6,839","4,714","6,199","15,601",2.2
Australia,74496,"7,084","4,421","6,158","4,699","3,446","5,760","7,089","6,235","5,997","4,103","5,481","14,023",2.3
New Zealand,"9,045",658,507,673,592,585,640,"1,022",747,824,564,689,"1,544",2.0
Others,310,8,9,22,14,19,22,44,44,18,47,29,34,1.8
TOTAL,"2,050,832","194,280","197,697","192,841","136,367","125,044","118,038","209,351","186,288","14,8499","150,419","167,217","224,791",1.3
