0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kuwait,"6,522",992,430,324,379,341,328,825,"1,206",802,358,223,314,2.2
Oman,"14,216","1,596",760,538,643,755,763,"2,997","3,228",848,743,665,680,2.7
Others,"25,345","1,976","1,379","2,507","2,007","1,450","1,122","2,527","2,917","3,249","1,640","1,621","2,950",1.5
EAST ASIA,"362,857","26,198","41,907","27,378","24,292","23,710","26,217","35,572","37,583","31,729","27,516","28,017","32,738",1.4
China(P.R.) **,"214,783","11,735","27,425","13,975","13,790","12,173","15,487","25,120","24,734","20,502","17,169","16,830","15,843",1.5
Indonesia,"23,305","4,809","3,486","3,286","2,109","1,589","1,558",953,429,981,639,522,"2,944",2.5
Japan,"39,358","3,140","4,541","3,393","2,519","2,319","2,450","2,797","4,814","3,698","2,770","2,514","4,403",1.5
Malaysia,"22,772","1,510","1,564","1,765","1,395","2,147","2,184","1,766","1,740","1,954","1,567","2,285","2,895",1.5
Philippines,"11,305",774,761,948,934,"1,072","1,001",901,924,"1,089",846,"1,013","1,042",1.2
Singapore,"15,846",903,"1,225","1,166","1,053","1,414","1,408","1,038","1,310","1,130","1,144","1,677","2,378",1.8
Thailand,"10,112",719,609,827,922,"1,282",567,612,923,607,"1,378",791,875,1.6
Korea(South),"14,373","1,856","1,159","1,080",735,840,941,"1,447","1,272","1,000","1,106","1,542","1,395",1.5
Others,"11,003",752,"1,137",938,835,874,621,938,"1,437",768,897,843,963,1.6
SOUTH ASIA,"459,415","33,559","29,011","34,343","32,907","42,435","36,972","36,360","34,912","40,498","40,714","41,318","56,386",1.5
India,"316,247","22,944","19,999","21,838","23,048","31,764","25,860","24,681","23,540","27,233","30,574","29,329","35,437",1.3
Maldives,"90,617","6,095","5,354","8,180","5,859","6,705","6,957","6,032","7,036","8,216","5,718","8,190","16,275",2.2
Pakistan,"32,300","3,216","2,098","2,618","2,759","2,586","2,825","3,445","2,807","3,050","2,381","2,030","2,485",1.3
Bangladesh,"13,358",903,"1,207","1,246",829,"1,013",890,"1,412",970,"1,305","1,240","1,075","1,268",1.3
Others,"6,893",401,353,461,412,367,440,790,559,694,801,694,921,1.6
AUSTRALASIA,"71,672","6,571","3,886","5,041","5,325","3,890","5,800","5,926","5,868","6,063","4,325","5,322","13,655",2.3
Australia,"63,554","5,930","3,472","4,466","4,717","3,397","5,152","5,122","5,268","5,367","3,768","4,641","12,254",2.3
New Zealand,"7,762",616,405,563,574,474,622,785,580,675,494,595,"1,379",2.1
Others,356,25,9,12,34,19,26,19,20,21,63,86,22,2.9
TOTAL,"1,798,380","156,246","165,541","157,051","122,217","113,529","115,467","175,804","166,610","143,374","132,280","144,147","206,114",1.4
